index,text,Diacterized,Buckwalter,Cleaned_Text
10001,بنك إنكلترا يا جماعة صرف ما يعادل,بَنْكُ إِنْكِلْتَرا يا جَماعَةَ صَرْفِ ما يُعادِلُ,banoku <inokilotarA yA jamAEapa Sarofi mA yuEAdilu,bnku inkltra ya jmaet srf ma yueadlu
10002,من احتياطياته النقدية,مِنْ احْتياطيّاتِهِ النَّقْديَّةِ,mino AHotyATy~Atihi Aln~aqody~api,mn ahtyatyath alnqdyt
10003,على شرا الإسترليني من السوق,عَلَى شَرًّا الإِسْتِرْلينيِّ مِنْ السّوقِ,EalaY $ar~FA Al<isotirolyny~i mino Als~wqi,ela shra alistrlyny mn alswq
10004,علشان يسنده,عَلَشانْ يُسْنِدُهُ,Eala$Ano yusoniduhu,elshan yusnduhu
10005,ما عملوش حاجة,ما عملوشْ حاجَةٍ,mA Emlw$o HAjapK,ma emlwsh hajt
10006,لإن السوق كان واخد باله من نقطة ضعف,لَإِنْ السّوقَ كانَ واخِدُ بالِهِ مِنْ نُقْطَةِ ضَعْفٍ,la<ino Als~wqa kAna wAxidu bAlihi mino nuqoTapi DaEofK,lin alswq kan wakhdu balh mn nuqtt def
10007,الحكومة البريطانية,الحُكومَةُ البِريطانيَّةُ,AlHukwmapu AlbiryTAny~apu,alhukwmtu albrytanytu
10008,وعارف إنها مش حتقدر,وَعارِفَ إِنَّها مَشْ حَتِقْدَرْ,waEArifa <in~ahA ma$o Hatiqodaro,wearf inha msh htqdr
10009,تفضل تشتري الإسترليني للأبد,تُفَضِّلُ تَشْتَريَ الإِسْتِرْلينيِّ لِلْأَبَدِ,tufaD~ilu ta$otarya Al<isotirolyny~i lilo>abadi,tufdlu tshtry alistrlyny llabd
10010,ودا اللي حصل فعلا,وُدًّا اللّي حَصَلَ فِعْلًا,wud~FA All~y HaSala fiEolFA,wuda ally hsl fela
10011,بنك إنكلترا كان بيشتري الإسترليني,بَنْكُ إِنْكِلْتَرا كانَ بيَشْتَريَ الإِسْتِرْلينيِّ,banoku <inokilotarA kAna bya$otarya Al<isotirolyny~i,bnku inkltra kan byshtry alistrlyny
10012,وعلى الناحية التانية,وَعَلَى النّاحيَةِ التّانيةْ,waEalaY Aln~AHyapi Alt~Anypo,wela alnahyt altanyt
10013,كان السوق كله بيبيع الإسترليني,كانَ السّوقُ كُلُّهُ بيَبيعَ الإِسْتِرْلينيِّ,kAna Als~wqu kul~uhu byabyEa Al<isotirolyny~i,kan alswqu kuluhu bybye alistrlyny
10014,لإنه حاسس إن المقاومة البريطانية,لِإِنّْهُ حاسِسٌ إِنَّ المُقاوَمَةَ البِريطانيَّةِ,li<in~ohu HAsisN <in~a AlmuqAwamapa AlbiryTAny~api,linhu hass in almuqawmt albrytanyt
10015,مسألة وقت وحتنهار,مَسْأَلَةُ وَقْتٍ وحتنهارْ,maso>alapu waqotK wHtnhAro,msaltu wqt whtnhar
10016,والحكومة البريطانية غصب عنها,والْحُكومَةُ البِريطانيَّةُ غَصْبَ عَنْها,wAloHukwmapu AlbiryTAny~apu gaSoba EanohA,walhukwmtu albrytanytu ghsb enha
10017,حترفع إيدها عن الإسترليني,حترفعْ إيدَها عَنْ الإِسْتِرْلينيِّ,HtrfEo <ydahA Eano Al<isotirolyny~i,htrfe iydha en alistrlyny
10018,وحتسيب سعره ينزل,وحتسيبْ سِعْرِهِ يَنْزِلُ,wHtsybo siEorihi yanozilu,whtsyb serh ynzlu
10019,المليار إسترليني اللي الحكومة البريطانية اشترته,المِلْيارِ إِسْتِرْلينيٍّ اللّي الحُكومَةَ البِريطانيَّةَ اشْتَرَتْهُ,AlmiloyAri <isotirolyny~K All~y AlHukwmapa AlbiryTAny~apa A$otaratohu,almlyar istrlyny ally alhukwmt albrytanyt ashtrthu
10020,دا كان آخر فلوس يحرقوها في السوق,دا كانَ آخِرُ فُلوسٌ يحرقوها في السّوقِ,dA kAna |xiru fulwsN yHrqwhA fy Als~wqi,da kan akhru fulws yhrqwha fy alswq
10021,وزير الخزانة البريطاني في الوقت دا,وَزيرُ الخِزانَةِ البِريطانيُّ في الوَقْتِ دا,wazyru AlxizAnapi AlbiryTAny~u fy Alwaqoti dA,wzyru alkhzant albrytanyu fy alwqt da
10022,نورمان لامونت,نورْمانْ لامونتْ,nwromAno lAmwnto,nwrman lamwnt
10023,اتصل برئيس وزراء بريطانيا,اتَّصَلَ بِرَئيسِ وُزَراءِ بِريطانْيا,At~aSala bira}ysi wuzarA'i biryTAnoyA,atsl bryys wuzrae brytanya
10024,جون ميجر,جونْ ميَجَّرَ,jwno myaj~ara,jwn myjr
10025,وقال له يا ريس,وَقالَ لَهُ يا ريسْ,waqAla lahu yA ryso,wqal lhu ya rys
10026,إحنا خلاص ما عدناش قادرين نشتري,إِحْنا خَلاصُ ما عدناشْ قادِرينَ نَشْتَريَ,<iHonA xalASu mA EdnA$o qAdiryna na$otarya,ihna khlasu ma ednash qadryn nshtry
10027,كميات كافية من الإسترليني,كَمّيّاتٌ كافيَةٌ مِنْ الإِسْتِرْلينيِّ,kam~y~AtN kAfyapN mino Al<isotirolyny~i,kmyat kafyt mn alistrlyny
10028,علشان نحافظ على ثبات سعر الصرف,عَلَشانْ نُحافِظَ عَلَى ثَباتِ سِعْرِ الصَّرْفِ,Eala$Ano nuHAfiZa EalaY vabAti siEori AlS~arofi,elshan nuhafz ela thbat ser alsrf
10029,إحنا ما قدامناش حل غير إننا نرفع سعر الفايدة,إِحْنا ما قدامناشْ حَلِّ غَيْرِ إِنَّنا نَرْفَعَ سِعْرَ الفايِدَةِ,<iHonA mA qdAmnA$o Hal~i gayori <in~anA narofaEa siEora AlfAyidapi,ihna ma qdamnash hl ghyr inna nrfe ser alfaydt
10030,بشكل كبير,بِشَكْلٍ كَبيرٍ,bi$akolK kabyrK,bshkl kbyr
10031,ونخلي الناس العادية,وَنَخْلُي النّاسُ العاديَّةَ,wanaxoluy Aln~Asu AlEAdy~apa,wnkhluy alnasu aleadyt
