index,Text
00001,أنا النهاردة عندي واحد وخمسين سنة مش عايز أستنى بصراحة أما رجعت مش عايز أستنى كمان عشر سنين
00002,عشان أعمل تغيير  جنسيته كذا لازم تتعامل معه بالطريقة دي والناس دي لما بيقولوا مثلا إكس هو بيبقى قصده كده
00003,منين إن مصر هي البريمو ومنين إن أنت لما حبيت تعملهم قمت خرجت بره مصر
00004,شغل بيدخله دخل بالدولار هيفيدهم وهيفيدوا عائلتهم وهيفيد بلدهم وهيفيد عيالهم إنهم يعلموهم أحسنوهيبقوا مؤمنين بالتعليم أكتر وهكذا
00005, وهكذا وهكذا  طبعا تسلم إيدك يا سيد المعلمين
00006,أنا أحمد طارق خليل مؤسس شركة أليانز للخدمات اللوجستية وحاليا
00007,أنا رئيس مجلس إدارة سوز تو سوز القابضة
00008,رجعنالكم من البريك وشربنا قهوتنا  وصحصحنا من أول وجديد ده بيغير صوته بيغير صوته
00009,ده اللي هو  لسه وهيتشقلب دلوقتي قصص أخر اليوم قصص ما قبل النوم
00010,شربنا قهوتنا وهنسمع دلوقتي قصة كاملة قصة حياة كلمة
00011,كلمة ايه  قصة حياة الأستاذ أحمد طارق خليل  إتفضل بعد اللي أنت بتقوله ده
00012, أستني بس عايز  يعني اللي بيسمعنا دلوقتي في المنصات الصوتية في أنا بقول قصة  أحمد طارق خليل أنت اللي إتكلمت  الحتة أنت وأنت بتتكلم على الحاجات الإنسانية
00013,أنا عايز أعرف من قصتك بالذات ليه الحتة دي إبتدت عندك منين
00014,ده بسبب هل بسبب تربية ولا بسبب ايه بالظبط فرجعنا معاك بقى في قصتك بقى لوراء احكي لنا بداية أحمد طارق خليل
00015,أنت مين طبعا أنا هقول حاجة عمري في حياتي ما قولتها
00016,أنا عمري ما طلعت في إنترفيو فهقولك حاجة عمري ما قولتها ما أعرفش صح إن أنا أقولها بصراحة ولا لأ
00017,أنا هقولها لإن خدت خلاص خدت قرار إنه كل حاجة تبقى أنا وزي ما أنا بالظبط يعني
00018,أنا جاي من خلفية قاسية شوية يعني الخلفية بتاعتي شوية قاسية يعني بدأت أشتغل وأنا صغير أوي
00019,مش عايز برضو الموضوع يبقى نمطي وإن أنا بدأتها من الصفر وبتاع بس أنا فعلا بدأتها من الصفر
00020,بدأتها من تحت الصفر بكتير أوي أوي أوي يعني يعني متهيألي إن أنا كنت
00021,هجري على حاجة كده وبعدين هرجع تاني وأنا عندي  سنة ومتخرج من الجامعة
00022,كنت كنت أتعرفت على أم عيالي
00023,فتعرفت عليها وأنا عندي  سنة وهي كانت جاية من خلفية مختلفة
00024,عني جامد جايه من خلفية بقى ناس معاهم فلوس و متدلعه
00025,مش متدلعة بطريقة وحشة بس يعني وانا بخرج إتعرفت عليها في إسكندرية
00026,واما إتعرفت عليها في إسكندرية روحت خرجت لها في مصر خرجت معاها في مصر بعد شهرين ما إتعرفت عليها
00027,فعشان أتعرف عشان أخرج معاها روحت فاكر كويس أوي عندي الصورة دي لغاية النهاردة
00028,روحت عشان أخرج معاها روحت بقى روحت جايب جاكيت من عند مش عارف مين صاحبي
00029,والقميص مش عارف من عند مين والسويت شيرت من عند مين يعني لسه عندي لغاية دلوقتي الصورة يعني
00030,كل واحد جايب منه حاجة عشان أعملها ده لأي مدى كانت الخلفية بتاعتي قاسية بس من وأنا صغير كنت مقتنع إن أنا هعملها
00031,هعملها هعملها يعني من وأنا صغير من وأنا طفل كنت مقتنع إن أنا هعملها هعملها
00032,كنت كل ما اتعرف على حد أنا هعمل كده هبني الأمبراطورية بتاعتي هبني الأمبراطورية بتاعتي أمنت بنفسي
00033,بدأت من وأنا صغير أوي أول حاجة عملتها هتموتوا على يعني يعني مش
00034,طبعا أمي هتخبطني بحاجة أول ما تخلص بدأت وأنا تقريبا عندي تسع سنين أو عشر سنين
00035,كنت عندي خالتي وجوزها كان بيشتغل في قناة السويس في في بورسعيد
00036,في الإسماعلية أو بور سعيد مش فاكر يعني بيتهيألي بور سعيد فكنت بسافر لهم في الصيف
00037,مرة او مرتين سافرت لهم في الصيف ودي الشغلانة الأولانية خلاص اللي عملتها وكان بورسعيد دي
00038,فيها الحاجات اللي هي المستوردة الشوكولاتة المستوردة  واللبس طبعا بس  لا اه واللبس طبعا بس
00039,البونبوني بالجلي كولا والبونبوني مش عارف على شكل إزازة كوكاكولا وبتاع فكنت بروح أجيب الحاجات كنت باخد  جنيه
00040,أمي ضربتني ضرب يا نهار أبيض على الموضوع دهوت بجيب حاجات ب جنيه وأبيعها بقى ايه
00041,دخلت المدارس هو ده بقى الفلوس بتاعتي كلها ال جنيه بترجع  جنيه
00042,البودكاست ده برعاية طلبات اطلب كل اللي محتاجه من السوبر ماركت الصيدليات والمطاعم
00043,إستخدم كود البودكاست وليك توصيل مجاني على تلت أوردرات
00044, كنت بجيب الحاجات بقى ايه  دي خطيرة على فكرة اه وأجيبها في العربية وأنا راجع بعد أسبوعين في
00045,مش فاكر أسبوعين ولا عشر أيام ولا تلات أسابيع يعني مش فاكر قد ايه الوقت وكنت بعملها قعدت سنتين في الصيف أعمل نفس الحاجات دي
00046,وبقى أصرف على نفسي في السنة كلها وبرطع فلوس وأخزن الحاجات كنا ساكنين ساعتها في إستانلي
00047,كنت أخزن الحاجات تحت بير السلم لإنها كانت حاجات كتير وشولة فكنت فأخزنها تحت بير السلم وأبعها بقى كل يوم في مدرسة واحدة واحدة
00048,و أنا في المدرسة في إبتدائي كنت بتكسف جدا جدا يعني كنت لوحدي خالص بس أنا كنت الراجل اللي ببيع ايه
00049,ببيع لهم الشيكولاتة المستوردة والجيلي كولا والشيكولاتة الصغيرة  وبخمسة ساغ  ديلر جلي كولا  ديلر جلي كولا  عاوز جلي كولا روح لأحمد طارق
00050,ولبنان وشوكولاتة وبتاع وببيعها للولاد في المدرسة ده أول حاجة عملتها
00051,وكنت قليل أي أوي أوي أوي أوي باخد مصروف من من أهلي
00052,أمي كانت موظفة وأنا قريب أوي أوي من أمي يعني هي أهم واحدة في حياتي
00053,هي كانت موظفة في الحكومة في وزارة الكهرباء
00054,كانت مشيت وهي عندها  سنة في المعاش كانت
00055,مش عارف كانت بتاخد كام بيتهيألي كانت بتاخخد  جنيه ولا  جنيه في المعاش في الحكومة في الوظيفة بتاعت الحكومة
00056,وكانت بشتغل كل يوم تقريبا كانت نائب رئيس شركة الكهرباء
00057,وكانت بتشتغل بتعمل وكنا تلاتة أنا وأخواتي البنات الأتنين
00058,وكانت بتشتغل وتوضبلنا الأكل الصبح وأرجع من المدرسة الاقي الأكل موجود
00059,يعني حاجة مش مصدق نفسي يعني وما كانش عندنا حد بيساعد في البيت أفتكر كان عندنا حد بيساعد مرة
00060,لمدة سنتين بس وبعد كده ما كانش عندنا حد بيساعد وأبويا كان
00061,كان بيتاجر في قطع غيار العربيات وكان كان غني كان معاه فلوس
00062,بس ما كنتبش  الله يرحمه مكنتش قريب منه أوي  الله يرحمه
00063,ومكنتش باخد منه مصروف مكنتش بحب أخد منه مصروف خالص
00064,وجيت بقى بعديها بكام سنة كنت
00065,كنت بشتغل في بجيب بقى حيوانات
00066,فأروح أجيب  فرخة مثلا اه طلعت الطلعة بتاعت الكتاكيت والحاجات دي  اه اه طلعتها طلعتها ووقعت  سمير غانم
00067,كان عندنا جنينة تحت وكان عندنا السطوح فوق كنت بروح أربي فيه الحاجات وأبيعهم للعيلة وأبيعهم للصحاب
00068,وأبيعهم للناس في الشارع كنا ساكنين في أجدين في إسكندرية وأبيعهم بقى للناس كلها وأنا صغير في حاجات كنت بخسر فيها فلوس وحاجات كنت بكسب فيها فلوس
00069,كنت بابيعهم وأجيب العائد منهم ويا إما أكبر المشروع يا اما أصرفه على مكنتش بصرف كتير كنت بصرف قليل أوي أوي
00070,يعني وكنت مثلا
00071,هنط على حاجة وأرجعلك تاني يعني كنت مثلا عندي جزمة مثلا في السنة يعني هي جزمة في السنة
00072,والجزمة بقى ابقى حاطط بقى رجل على رجل قوي وحاطط بتاع  لان الجزمة بتبقى متاكلة متاكلة من تحت  على الترابيزة
00073,متاكلة من تحتمفشوخة الجزمة فيعني  فيها الخرم اللي هو  المعين
